Product Code,Product,Brand,Price,LLM_Context
E7692916,Mobile Phone,Acer,5.413.400 VNĐ,"Sản phẩm Mobile Phone thương hiệu Acer, mã sản phẩm E7692916. Giá bán hiện tại là 5.413.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Helio, RAM 12GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
C215F637,Laptop,Oppo,13.869.500 VNĐ,"Sản phẩm Laptop thương hiệu Oppo, mã sản phẩm C215F637. Giá bán hiện tại là 13.869.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 16GB, Bộ nhớ trong 512GB, Ổ cứng SSD 1TB."
651469C2,Laptop,iQOO,16.807.600 VNĐ,"Sản phẩm Laptop thương hiệu iQOO, mã sản phẩm 651469C2. Giá bán hiện tại là 16.807.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core i5, Chip i5, RAM 6GB, Bộ nhớ trong 128GB, Ổ cứng SSD 1TB."
5931B97C,Laptop,Microsoft,8.608.900 VNĐ,"Sản phẩm Laptop thương hiệu Microsoft, mã sản phẩm 5931B97C. Giá bán hiện tại là 8.608.900 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 16GB, Bộ nhớ trong 1TB, Ổ cứng SSD 1TB."
335BA5BE,Laptop,Sony,18.555.600 VNĐ,"Sản phẩm Laptop thương hiệu Sony, mã sản phẩm 335BA5BE. Giá bán hiện tại là 18.555.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 16GB, Bộ nhớ trong 512GB, Ổ cứng SSD 2TB."
7402DBC0,Laptop,Nokia,5.504.900 VNĐ,"Sản phẩm Laptop thương hiệu Nokia, mã sản phẩm 7402DBC0. Giá bán hiện tại là 5.504.900 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 3, Chip Ryzen 3, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD 1TB."
552EAB5F,Laptop,Lenovo,939.500 VNĐ,"Sản phẩm Laptop thương hiệu Lenovo, mã sản phẩm 552EAB5F. Giá bán hiện tại là 939.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 12GB, Bộ nhớ trong 256GB, Ổ cứng SSD 512GB."
BF018999,Mobile Phone,Realme,13.252.300 VNĐ,"Sản phẩm Mobile Phone thương hiệu Realme, mã sản phẩm BF018999. Giá bán hiện tại là 13.252.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7s, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
37D3F7F4,Laptop,iQOO,8.705.300 VNĐ,"Sản phẩm Laptop thương hiệu iQOO, mã sản phẩm 37D3F7F4. Giá bán hiện tại là 8.705.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD 2TB."
4EBDFE31,Laptop,HP,2.961.700 VNĐ,"Sản phẩm Laptop thương hiệu HP, mã sản phẩm 4EBDFE31. Giá bán hiện tại là 2.961.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 32GB, Bộ nhớ trong 512GB, Ổ cứng SSD 512GB."
CF884218,Laptop,Samsung,13.395.100 VNĐ,"Sản phẩm Laptop thương hiệu Samsung, mã sản phẩm CF884218. Giá bán hiện tại là 13.395.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 3, Chip Ryzen 3, RAM 16GB, Bộ nhớ trong 1TB, Ổ cứng SSD 512GB."
9A61C658,Laptop,Redmi,1.167.500 VNĐ,"Sản phẩm Laptop thương hiệu Redmi, mã sản phẩm 9A61C658. Giá bán hiện tại là 1.167.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core i9, Chip i9, RAM 6GB, Bộ nhớ trong 512GB, Ổ cứng SSD 512GB."
C98F17CA,Mobile Phone,HP,9.711.200 VNĐ,"Sản phẩm Mobile Phone thương hiệu HP, mã sản phẩm C98F17CA. Giá bán hiện tại là 9.711.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Samsung Exynos, RAM 12GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
1C31DF4A,Laptop,Realme,8.187.100 VNĐ,"Sản phẩm Laptop thương hiệu Realme, mã sản phẩm 1C31DF4A. Giá bán hiện tại là 8.187.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 4GB, Bộ nhớ trong 1TB, Ổ cứng SSD 256GB."
BD6CC48B,Laptop,Acer,2.815.000 VNĐ,"Sản phẩm Laptop thương hiệu Acer, mã sản phẩm BD6CC48B. Giá bán hiện tại là 2.815.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 3, Chip Ryzen 3, RAM 8GB, Bộ nhớ trong 1TB, Ổ cứng SSD 2TB."
F13739FF,Mobile Phone,iQOO,6.653.500 VNĐ,"Sản phẩm Mobile Phone thương hiệu iQOO, mã sản phẩm F13739FF. Giá bán hiện tại là 6.653.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 16GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
BDAB9D30,Mobile Phone,Dell,10.429.200 VNĐ,"Sản phẩm Mobile Phone thương hiệu Dell, mã sản phẩm BDAB9D30. Giá bán hiện tại là 10.429.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 32GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
B51BE37A,Mobile Phone,Samsung,2.774.900 VNĐ,"Sản phẩm Mobile Phone thương hiệu Samsung, mã sản phẩm B51BE37A. Giá bán hiện tại là 2.774.900 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 32GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
26825C0F,Mobile Phone,HP,16.147.300 VNĐ,"Sản phẩm Mobile Phone thương hiệu HP, mã sản phẩm 26825C0F. Giá bán hiện tại là 16.147.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 16GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
9F8C2082,Mobile Phone,Lenovo,6.928.700 VNĐ,"Sản phẩm Mobile Phone thương hiệu Lenovo, mã sản phẩm 9F8C2082. Giá bán hiện tại là 6.928.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 4GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
A957726E,Mobile Phone,Nokia,9.780.200 VNĐ,"Sản phẩm Mobile Phone thương hiệu Nokia, mã sản phẩm A957726E. Giá bán hiện tại là 9.780.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 32GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
A692B6B2,Mobile Phone,iQOO,10.713.300 VNĐ,"Sản phẩm Mobile Phone thương hiệu iQOO, mã sản phẩm A692B6B2. Giá bán hiện tại là 10.713.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
88EC2E27,Mobile Phone,iQOO,767.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu iQOO, mã sản phẩm 88EC2E27. Giá bán hiện tại là 767.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7s, RAM 4GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
7289581E,Laptop,Asus,8.822.100 VNĐ,"Sản phẩm Laptop thương hiệu Asus, mã sản phẩm 7289581E. Giá bán hiện tại là 8.822.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 8GB, Bộ nhớ trong 512GB, Ổ cứng SSD 256GB."
033941E0,Laptop,Microsoft,14.405.100 VNĐ,"Sản phẩm Laptop thương hiệu Microsoft, mã sản phẩm 033941E0. Giá bán hiện tại là 14.405.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 4GB, Bộ nhớ trong 128GB, Ổ cứng SSD 2TB."
E83D4195,Laptop,Toshiba,6.407.300 VNĐ,"Sản phẩm Laptop thương hiệu Toshiba, mã sản phẩm E83D4195. Giá bán hiện tại là 6.407.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core i5, Chip i5, RAM 6GB, Bộ nhớ trong 64GB, Ổ cứng SSD 2TB."
29493FAA,Laptop,Google,14.978.500 VNĐ,"Sản phẩm Laptop thương hiệu Google, mã sản phẩm 29493FAA. Giá bán hiện tại là 14.978.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 6GB, Bộ nhớ trong 256GB, Ổ cứng SSD 512GB."
6C6A51C8,Laptop,Oppo,15.391.600 VNĐ,"Sản phẩm Laptop thương hiệu Oppo, mã sản phẩm 6C6A51C8. Giá bán hiện tại là 15.391.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 9, Chip Ryzen 9, RAM 6GB, Bộ nhớ trong 512GB, Ổ cứng SSD 2TB."
98660CB1,Mobile Phone,Realme,6.759.800 VNĐ,"Sản phẩm Mobile Phone thương hiệu Realme, mã sản phẩm 98660CB1. Giá bán hiện tại là 6.759.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Apple A-Series, RAM 32GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
AEFEC66E,Laptop,Samsung,6.123.000 VNĐ,"Sản phẩm Laptop thương hiệu Samsung, mã sản phẩm AEFEC66E. Giá bán hiện tại là 6.123.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 4GB, Bộ nhớ trong 64GB, Ổ cứng SSD 2TB."
B6659342,Mobile Phone,Asus,952.200 VNĐ,"Sản phẩm Mobile Phone thương hiệu Asus, mã sản phẩm B6659342. Giá bán hiện tại là 952.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Apple A-Series, RAM 6GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
DD508DD0,Mobile Phone,Vivo,5.930.900 VNĐ,"Sản phẩm Mobile Phone thương hiệu Vivo, mã sản phẩm DD508DD0. Giá bán hiện tại là 5.930.900 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Dimensity, RAM 4GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
350528D5,Mobile Phone,Motorola,15.402.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm 350528D5. Giá bán hiện tại là 15.402.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 4GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
ECFDD5AD,Laptop,Vivo,15.925.400 VNĐ,"Sản phẩm Laptop thương hiệu Vivo, mã sản phẩm ECFDD5AD. Giá bán hiện tại là 15.925.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 6GB, Bộ nhớ trong 128GB, Ổ cứng SSD 1TB."
F5B6B3D7,Laptop,iQOO,16.529.800 VNĐ,"Sản phẩm Laptop thương hiệu iQOO, mã sản phẩm F5B6B3D7. Giá bán hiện tại là 16.529.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 4GB, Bộ nhớ trong 64GB, Ổ cứng SSD 1TB."
33C9E127,Mobile Phone,Google,8.929.700 VNĐ,"Sản phẩm Mobile Phone thương hiệu Google, mã sản phẩm 33C9E127. Giá bán hiện tại là 8.929.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7s, RAM 6GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
1EFB4542,Mobile Phone,iQOO,7.536.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu iQOO, mã sản phẩm 1EFB4542. Giá bán hiện tại là 7.536.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Samsung Exynos, RAM 16GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
BD867652,Laptop,Samsung,10.569.600 VNĐ,"Sản phẩm Laptop thương hiệu Samsung, mã sản phẩm BD867652. Giá bán hiện tại là 10.569.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 16GB, Bộ nhớ trong 128GB, Ổ cứng SSD 256GB."
7B6AD3FF,Mobile Phone,Redmi,18.528.700 VNĐ,"Sản phẩm Mobile Phone thương hiệu Redmi, mã sản phẩm 7B6AD3FF. Giá bán hiện tại là 18.528.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Samsung Exynos, RAM 12GB, Bộ nhớ trong 1TB, Ổ cứng SSD nan."
0E892823,Laptop,Acer,12.457.800 VNĐ,"Sản phẩm Laptop thương hiệu Acer, mã sản phẩm 0E892823. Giá bán hiện tại là 12.457.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 12GB, Bộ nhớ trong 1TB, Ổ cứng SSD 256GB."
B5960254,Laptop,Samsung,2.631.700 VNĐ,"Sản phẩm Laptop thương hiệu Samsung, mã sản phẩm B5960254. Giá bán hiện tại là 2.631.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 32GB, Bộ nhớ trong 256GB, Ổ cứng SSD 512GB."
3FF7069B,Mobile Phone,Google,15.074.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu Google, mã sản phẩm 3FF7069B. Giá bán hiện tại là 15.074.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 6GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
0F0C53FB,Laptop,Motorola,5.181.800 VNĐ,"Sản phẩm Laptop thương hiệu Motorola, mã sản phẩm 0F0C53FB. Giá bán hiện tại là 5.181.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 4GB, Bộ nhớ trong 256GB, Ổ cứng SSD 256GB."
F6DE94E0,Laptop,Nokia,14.851.700 VNĐ,"Sản phẩm Laptop thương hiệu Nokia, mã sản phẩm F6DE94E0. Giá bán hiện tại là 14.851.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 32GB, Bộ nhớ trong 256GB, Ổ cứng SSD 1TB."
775C9D4A,Laptop,Nokia,11.135.300 VNĐ,"Sản phẩm Laptop thương hiệu Nokia, mã sản phẩm 775C9D4A. Giá bán hiện tại là 11.135.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 4GB, Bộ nhớ trong 1TB, Ổ cứng SSD 256GB."
FFAFAD2B,Mobile Phone,Realme,2.310.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Realme, mã sản phẩm FFAFAD2B. Giá bán hiện tại là 2.310.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Helio, RAM 32GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
F9849F0C,Laptop,OnePlus,13.623.200 VNĐ,"Sản phẩm Laptop thương hiệu OnePlus, mã sản phẩm F9849F0C. Giá bán hiện tại là 13.623.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 12GB, Bộ nhớ trong 256GB, Ổ cứng SSD 256GB."
1E7A5A03,Mobile Phone,HP,8.648.400 VNĐ,"Sản phẩm Mobile Phone thương hiệu HP, mã sản phẩm 1E7A5A03. Giá bán hiện tại là 8.648.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Helio, RAM 8GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
DB6F5FEC,Laptop,Google,3.740.500 VNĐ,"Sản phẩm Laptop thương hiệu Google, mã sản phẩm DB6F5FEC. Giá bán hiện tại là 3.740.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 12GB, Bộ nhớ trong 64GB, Ổ cứng SSD 1TB."
D0EB2343,Mobile Phone,Google,927.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Google, mã sản phẩm D0EB2343. Giá bán hiện tại là 927.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Dimensity, RAM 12GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
D4B363CC,Laptop,iQOO,1.190.200 VNĐ,"Sản phẩm Laptop thương hiệu iQOO, mã sản phẩm D4B363CC. Giá bán hiện tại là 1.190.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD 512GB."
D21FC96D,Laptop,Acer,10.560.100 VNĐ,"Sản phẩm Laptop thương hiệu Acer, mã sản phẩm D21FC96D. Giá bán hiện tại là 10.560.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 8GB, Bộ nhớ trong 256GB, Ổ cứng SSD 256GB."
D36FC48A,Mobile Phone,Motorola,4.715.400 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm D36FC48A. Giá bán hiện tại là 4.715.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7s, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
F916C29C,Mobile Phone,Vivo,3.097.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu Vivo, mã sản phẩm F916C29C. Giá bán hiện tại là 3.097.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
B63BD722,Laptop,Sony,4.498.300 VNĐ,"Sản phẩm Laptop thương hiệu Sony, mã sản phẩm B63BD722. Giá bán hiện tại là 4.498.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 6GB, Bộ nhớ trong 1TB, Ổ cứng SSD 512GB."
7A7D582C,Laptop,HP,5.703.700 VNĐ,"Sản phẩm Laptop thương hiệu HP, mã sản phẩm 7A7D582C. Giá bán hiện tại là 5.703.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 3, Chip Ryzen 3, RAM 4GB, Bộ nhớ trong 64GB, Ổ cứng SSD 2TB."
202F0160,Mobile Phone,Dell,14.078.700 VNĐ,"Sản phẩm Mobile Phone thương hiệu Dell, mã sản phẩm 202F0160. Giá bán hiện tại là 14.078.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Samsung Exynos, RAM 8GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
71166CDE,Mobile Phone,Motorola,9.131.100 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm 71166CDE. Giá bán hiện tại là 9.131.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Dimensity, RAM 6GB, Bộ nhớ trong 1TB, Ổ cứng SSD nan."
485A5C78,Laptop,Oppo,4.698.900 VNĐ,"Sản phẩm Laptop thương hiệu Oppo, mã sản phẩm 485A5C78. Giá bán hiện tại là 4.698.900 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 32GB, Bộ nhớ trong 128GB, Ổ cứng SSD 512GB."
9C5B4B5D,Mobile Phone,Motorola,7.979.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm 9C5B4B5D. Giá bán hiện tại là 7.979.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 12GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
D73F88BD,Laptop,Motorola,4.368.300 VNĐ,"Sản phẩm Laptop thương hiệu Motorola, mã sản phẩm D73F88BD. Giá bán hiện tại là 4.368.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 12GB, Bộ nhớ trong 512GB, Ổ cứng SSD 512GB."
33009991,Laptop,Google,1.640.000 VNĐ,"Sản phẩm Laptop thương hiệu Google, mã sản phẩm 33009991. Giá bán hiện tại là 1.640.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core i9, Chip i9, RAM 32GB, Bộ nhớ trong 64GB, Ổ cứng SSD 512GB."
02F432C7,Laptop,iQOO,9.894.500 VNĐ,"Sản phẩm Laptop thương hiệu iQOO, mã sản phẩm 02F432C7. Giá bán hiện tại là 9.894.500 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 7, Chip Ryzen 7, RAM 32GB, Bộ nhớ trong 128GB, Ổ cứng SSD 1TB."
FA8058CE,Laptop,Sony,5.982.000 VNĐ,"Sản phẩm Laptop thương hiệu Sony, mã sản phẩm FA8058CE. Giá bán hiện tại là 5.982.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 12GB, Bộ nhớ trong 64GB, Ổ cứng SSD 256GB."
B8B7F759,Mobile Phone,iQOO,18.694.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu iQOO, mã sản phẩm B8B7F759. Giá bán hiện tại là 18.694.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 32GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
